Timestamp,Temperature (°C),Humidity (%)
2025-03-25 18:48:42,28.30,58.10
2025-03-25 18:48:44,28.30,58.10
2025-03-25 18:48:46,28.30,58.10
2025-03-25 18:48:48,28.30,58.10
2025-03-25 18:48:50,28.30,58.10
2025-03-25 18:48:52,28.30,58.00
2025-03-25 18:48:54,28.30,58.10
2025-03-25 18:48:56,28.30,58.10
2025-03-25 18:48:58,28.30,57.90
2025-03-25 18:49:00,28.30,57.90
2025-03-25 18:49:02,28.30,57.90
2025-03-25 18:49:04,28.30,57.90
2025-03-25 18:49:06,28.30,57.90
2025-03-25 18:49:08,28.30,57.80
2025-03-25 18:49:10,28.30,57.80
2025-03-25 18:49:12,28.30,57.80
2025-03-25 18:49:14,28.30,57.70
2025-03-25 18:49:16,28.30,57.70
2025-03-25 18:49:18,28.30,57.60
2025-03-25 18:49:20,28.30,57.50
2025-03-25 18:49:22,28.30,57.50
2025-03-25 18:49:24,28.30,57.50
2025-03-25 18:49:26,28.30,57.50
2025-03-25 18:49:28,28.30,57.40
2025-03-25 18:49:30,28.30,57.40
2025-03-25 18:49:32,28.30,57.50
2025-03-25 18:49:34,28.30,57.40
2025-03-25 18:49:36,28.30,57.40
2025-03-25 18:49:38,28.30,57.40
2025-03-25 18:49:40,28.30,57.40
2025-03-25 18:49:42,28.20,57.40
2025-03-25 18:49:44,28.20,57.50
2025-03-25 18:49:46,28.20,57.50
2025-03-25 18:49:48,28.20,57.50
2025-03-25 18:49:50,28.20,57.50
2025-03-25 18:49:52,28.20,57.50
2025-03-25 18:49:54,28.20,57.50
2025-03-25 18:49:56,28.20,57.40
2025-03-25 18:49:58,28.20,57.40
2025-03-25 18:50:00,28.20,57.40
2025-03-25 18:50:02,28.20,57.40
2025-03-25 18:50:04,28.20,57.40
2025-03-25 18:50:06,28.20,57.50
2025-03-25 18:50:08,28.20,57.40
2025-03-25 18:50:10,28.20,57.40
2025-03-25 18:50:12,28.20,57.50
2025-03-25 18:50:14,28.20,57.40
2025-03-25 18:50:16,28.20,57.40
2025-03-25 18:50:18,28.20,57.40
2025-03-25 18:50:20,28.20,57.40
2025-03-25 18:50:22,28.20,57.40
2025-03-25 18:50:24,28.20,57.40
2025-03-25 18:50:26,28.20,57.40
2025-03-25 18:50:28,28.20,57.40
2025-03-25 18:50:30,28.20,57.40
2025-03-25 18:50:32,28.10,57.30
2025-03-25 18:50:34,28.10,57.40
2025-03-25 18:50:36,28.10,57.40
2025-03-25 18:50:38,28.10,57.40
2025-03-25 18:50:40,28.10,57.40
2025-03-25 18:50:42,28.10,57.50
2025-03-25 18:50:44,28.10,57.40
2025-03-25 18:50:46,28.10,57.40
2025-03-25 18:50:48,28.10,57.50
2025-03-25 18:50:50,28.10,57.50
2025-03-25 18:50:52,28.10,57.40
2025-03-25 18:50:54,28.10,57.50
2025-03-25 18:50:56,28.10,57.40
2025-03-25 18:50:58,28.10,57.40
2025-03-25 18:51:00,28.10,57.50
2025-03-25 18:51:02,28.10,57.50
2025-03-25 18:51:04,28.10,57.50
2025-03-25 18:51:06,28.10,57.60
2025-03-25 18:51:08,28.10,57.60
2025-03-25 18:51:10,28.10,57.60
2025-03-25 18:51:12,28.10,57.60
2025-03-25 18:51:14,28.10,57.60
2025-03-25 18:51:16,28.10,57.70
2025-03-25 18:51:18,28.10,57.70
2025-03-25 18:51:20,28.10,57.70
2025-03-25 18:51:22,28.00,57.70
2025-03-25 18:51:24,28.10,57.70
2025-03-25 18:51:26,28.10,57.70
2025-03-25 18:51:28,28.00,57.70
2025-03-25 18:51:30,28.10,57.70
2025-03-25 18:51:32,28.00,57.80
2025-03-25 18:51:34,28.10,57.80
2025-03-25 18:51:36,28.00,57.80
2025-03-25 18:51:38,28.00,57.80
2025-03-25 18:51:40,28.00,57.80
2025-03-25 18:51:42,28.00,57.80
2025-03-25 18:51:44,28.00,57.80
2025-03-25 18:51:46,28.00,57.80
2025-03-25 18:51:48,28.00,57.80
2025-03-25 18:51:50,28.00,57.80
2025-03-25 18:51:52,28.00,57.80
2025-03-25 18:51:54,28.00,57.80
2025-03-25 18:51:56,28.00,57.90
2025-03-25 18:51:58,28.00,57.80
2025-03-25 18:52:00,28.00,57.80
2025-03-25 18:52:02,28.00,57.80
2025-03-25 18:52:04,28.00,57.70
2025-03-25 18:52:06,28.00,57.70
2025-03-25 18:52:08,28.00,57.80
2025-03-25 18:52:10,28.00,57.80
2025-03-25 18:52:12,28.00,57.80
2025-03-25 18:52:14,28.00,57.90
2025-03-25 18:52:16,28.00,57.80
2025-03-25 18:52:18,28.00,57.80
2025-03-25 18:52:20,28.00,57.90
2025-03-25 18:52:22,28.00,57.80
2025-03-25 18:52:24,28.00,57.80
2025-03-25 18:52:26,28.00,57.90
2025-03-25 18:52:28,28.00,57.80
2025-03-25 18:52:30,28.00,57.80
2025-03-25 18:52:32,28.00,57.90
2025-03-25 18:52:34,28.00,57.80
2025-03-25 18:52:36,28.00,57.80
2025-03-25 18:52:38,28.00,57.80
2025-03-25 18:52:40,28.00,57.80
2025-03-25 18:52:42,28.00,57.80
2025-03-25 18:52:44,28.00,57.80
2025-03-25 18:52:46,28.00,57.80
2025-03-25 18:52:48,28.00,57.90
2025-03-25 18:52:50,28.00,57.90
2025-03-25 18:52:52,28.00,57.90
2025-03-25 18:52:54,28.00,58.00
2025-03-25 18:52:56,28.00,58.00
2025-03-25 18:52:58,28.00,58.00
2025-03-25 18:53:00,28.00,58.10
2025-03-25 18:53:02,28.00,58.20
2025-03-25 18:53:04,28.00,58.20
2025-03-25 18:53:06,28.00,58.20
2025-03-25 18:53:08,28.00,58.20
2025-03-25 18:53:10,28.00,58.40
